Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Price range,Aggregate rating,Votes
52,Laxmi Ice Cream,1,New Delhi,"H2, Hudson Line, Kingsway Camp, Delhi University-GTB Nagar, New Delhi",Delhi University-GTB Nagar,"Delhi University-GTB Nagar, New Delhi",77.2044507,28.6968859,"Ice Cream, Desserts",150,Indian Rupees(Rs.),No,No,1,3.7,93
53,Barbeque Ville,1,Pune,"257, Green Valley, Near Mankar Chowk, Kaspate Vasti, Wakad, Pune",Wakad,"Wakad, Pune",73.7735722,18.5927182,North Indian,1000,Indian Rupees(Rs.),Yes,No,3,4.4,208
54,Bintang Sweet Thrills,1,New Delhi,"Shop 1, 176-A,  LIG Flats, Rajouri Garden, New Delhi",Rajouri Garden,"Rajouri Garden, New Delhi",77.11487744,28.6393819,"Desserts, Ice Cream",200,Indian Rupees(Rs.),No,No,1,3.5,21
55,Copper Restro Bar,1,New Delhi,"F-37, Central Market, Kirti Nagar, New Delhi",Kirti Nagar,"Kirti Nagar, New Delhi",77.1423902,28.6529002,"North Indian, Chinese, Continental",1200,Indian Rupees(Rs.),Yes,No,3,2.8,15
56,Cheenos,1,Noida,"P-11, 2nd & 3rd Floor, Above Sony Centre, Sector 18, Noida",Sector 18,"Sector 18, Noida",77.32454438,28.56857349,"American, Italian",1500,Indian Rupees(Rs.),Yes,No,3,2.6,521
57,Pindi,1,New Delhi,"16, Pandara Road Market, New Delhi",Pandara Road Market,"Pandara Road Market, New Delhi",77.2300185,28.6079765,"North Indian, Mughlai, Chinese",1700,Indian Rupees(Rs.),Yes,Yes,3,3.8,337
58,Kamdhenu Family Corner,1,New Delhi,"5469, Opposite Town Hall, Chandni Chowk, New Delhi",Chandni Chowk,"Chandni Chowk, New Delhi",77.2271781,28.6563302,"North Indian, South Indian",300,Indian Rupees(Rs.),No,No,1,2.8,4
59,Shenanigan's Irish Pub,216,Gainesville,"87 N. Chestatee St., Dahlonega, GA 30533",Dahlonega,"Dahlonega, Gainesville",-83.986119,34.533198,"Bar Food, Seafood, Vegetarian",25,Dollar($),No,No,2,4.1,171
60,Mocha,1,Lucknow,"CP-1, 2nd Floor, Anand Plaza, Viram Khand-1, Near Patrakarpuram Crossing, Gomti Nagar, Lucknow",Gomti Nagar,"Gomti Nagar, Lucknow",81.0011849,26.8528099,"Cafe, Italian, Continental",800,Indian Rupees(Rs.),No,No,3,4.6,567
61,Malik Vegetarian Rasoi,1,New Delhi,"13-A/4, Ward 1, Opposite Bhool Bhuliyan, Mehrauli, New Delhi",Mehrauli,"Mehrauli, New Delhi",77.1818906,28.5227376,North Indian,250,Indian Rupees(Rs.),No,No,1,2.9,9
62,Pandey Ji Restaurant,1,New Delhi,"F-226, Katwaria Sarai, Qutab Institutional Area, New Delhi",Qutab Institutional Area,"Qutab Institutional Area, New Delhi",77.18608741,28.54186954,"North Indian, Chinese",150,Indian Rupees(Rs.),No,No,1,0,0
63,Cervantes,30,Rio de Janeiro,"Avenida Prado Junior, 335 B, Copacabana, Rio de Janeiro",Copacabana,"Copacabana, Rio de Janeiro",-43.17583333,-22.96216667,"Beverages, Bar Food, Fast Food",90,Brazilian Real(R$),No,No,3,4.5,29
64,Shagun,1,New Delhi,"F-16, Opposite NDPL Office, Vijay Nagar, New Delhi",Vijay Nagar,"Vijay Nagar, New Delhi",77.2047215,28.6934181,"Chinese, Thai, Tibetan, Japanese",800,Indian Rupees(Rs.),No,Yes,2,3.9,419
65,Sconyers Bar B Que,216,Augusta,"2250 Sconyers Way, Augusta, GA 30906",Augusta,"Augusta, Augusta",-82.0327,33.4086,BBQ,25,Dollar($),No,No,2,3.5,304
66,Krishna Panjabi Rasoi,1,New Delhi,"10/10, Yadav Park, Najafgarh Road, Nangloi, New Delhi",Nangloi,"Nangloi, New Delhi",77.06082389,28.6743958,North Indian,100,Indian Rupees(Rs.),No,No,1,0,1
67,El Cartel,215,Edinburgh,"64 Thistle Street, New Town, Edinburgh EH2 1EN",New Town,"New Town, Edinburgh",-3.199521,55.95404,Mexican,30,Pounds(å£),No,No,3,3.8,31
68,Pizza Day,1,New Delhi,"Ram Chowk, Main Market, Palam Colony, Palam, New Delhi",Palam,"Palam, New Delhi",77.0909455,28.5871261,"Pizza, Fast Food",500,Indian Rupees(Rs.),No,Yes,2,0,2
69,Chor Bizarre,1,New Delhi,"Bikaner House, Pandara Road Market, New Delhi",Pandara Road Market,"Pandara Road Market, New Delhi",77.2305318,28.6081696,North Indian,1600,Indian Rupees(Rs.),Yes,No,3,4.4,64
70,Aalis Kathi Kabab,1,New Delhi,"Shop 4, Panchsheel Enclave Market, Panchsheel Park, New Delhi",Panchsheel Park,"Panchsheel Park, New Delhi",77.2300888,28.5438243,"Fast Food, North Indian",400,Indian Rupees(Rs.),No,No,1,3.3,46
71,Foodieholic,1,New Delhi,"F-154, Katwaria Saria, Qutab Institutional Area, New Delhi",Qutab Institutional Area,"Qutab Institutional Area, New Delhi",77.18569312,28.54150757,"Chinese, North Indian, South Indian",200,Indian Rupees(Rs.),No,No,1,0,0
72,Wangchuk's Ladakhi Kitchen,1,Gurgaon,"2nd Floor, Jalsa Building, Opposite Arjun Marg, Golf Course Road, Gurgaon",Golf Course Road,"Golf Course Road, Gurgaon",77.0940831,28.4663219,"Tibetan, Nepalese",850,Indian Rupees(Rs.),No,Yes,2,3.6,241
73,Cherry Comet,1,Gurgaon,"K-5/A, Near Building 8-B Entrance, Cyber hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City","Cyber Hub, DLF Cyber City, Gurgaon",77.0888677,28.4953148,"Ice Cream, Desserts",400,Indian Rupees(Rs.),No,Yes,1,3.6,455
74,Yadav Ji Chholey Bhature,1,New Delhi,"Main Road, Mahavir Enclave, Part 3, Palam, New Delhi",Palam,"Palam, New Delhi",77.0686475,28.6062929,Street Food,50,Indian Rupees(Rs.),No,No,1,0,1
75,Shri Gupta'z,1,New Delhi,"6, DSIDC Market, Scheme 3, Okhla Industrial Area, Okhla Phase 2, New Delhi",Okhla Phase 2,"Okhla Phase 2, New Delhi",77.2806012,28.5370818,"Mughlai, North Indian, Chinese",500,Indian Rupees(Rs.),No,No,2,3.2,18
76,The First Floor,1,New Delhi,"Building 58, 1st Floor, Sahyog Bhavan, Nehru Place, New Delhi",Nehru Place,"Nehru Place, New Delhi",77.2526836,28.5487963,"North Indian, Chinese",1000,Indian Rupees(Rs.),Yes,Yes,3,3.1,14
77,Govinda,1,New Delhi,"E-196B, Krishna Market, Lajpat Nagar 1, New Delhi",Lajpat Nagar 1,"Lajpat Nagar 1, New Delhi",77.2430561,28.5751889,Street Food,100,Indian Rupees(Rs.),No,No,1,0,1
78,Aap Ki Rasoi Ghar,1,New Delhi,"Shop 1, 16/21, Subhash Nagar, New Delhi",Subhash Nagar,"Subhash Nagar, New Delhi",77.119028,28.6344547,"North Indian, Fast Food",250,Indian Rupees(Rs.),No,No,1,3,6
79,Madras Coffee House,1,Noida,"Ground Floor, Amenity Block, Unitech Infospace, Sector 135, Near Sector 132, Noida",Sector 132,"Sector 132, Noida",77.4043548,28.4990685,Beverages,100,Indian Rupees(Rs.),No,No,1,0,1
80,Razzmatazz,1,Dehradun,"5, Pritam Road, Dalanwala, Near Race Course, Dehradun",Race Course,"Race Course, Dehradun",0,0,Cafe,400,Indian Rupees(Rs.),No,No,2,3.9,39
81,Palmshore,1,Chennai,"Plot 8, Park Dugar, Mount Poonamallee High Road, Ramapuram, Chennai",Ramapuram,"Ramapuram, Chennai",80.17456822,13.02627908,"North Indian, Mughlai, Chinese, South Indian",850,Indian Rupees(Rs.),Yes,Yes,2,4.4,645
82,Beijing Cafe,216,Valdosta,"1715 C Norman Drive, Valdosta, GA 31601",Valdosta,"Valdosta, Valdosta",-83.318554,30.841892,"Asian, Chinese, Thai",35,Dollar($),No,No,3,3.8,185
83,Bade Bhai Ka Brothers' Dhaba,1,Amritsar,"Near Amritsar Municipal Corporation, Town Hall, Amritsar",Town Hall,"Town Hall, Amritsar",74.87461944,31.62394722,"North Indian, Fast Food",500,Indian Rupees(Rs.),No,No,2,3.7,94
84,Tikka Express meets Chennai Express,1,Noida,"Shop UG 15-16, Amrapali Zodiac Society, Sector 120, Near Sector 72, Noida",Sector 72,"Sector 72, Noida",77.3992328,28.585231,"Fast Food, North Indian, South Indian",400,Indian Rupees(Rs.),No,No,1,0,1
85,Hangout Cafe,1,Gurgaon,"16 C, Opposite Lady of Fatima Convent School, New Colony, Old Railway Road, Gurgaon",Old Railway Road,"Old Railway Road, Gurgaon",77.0196893,28.4653555,"Fast Food, Chinese",200,Indian Rupees(Rs.),No,Yes,1,3.4,27
86,Pakwan,1,New Delhi,"Shalimar Hotel, A-160, Road 4, Mahipalpur Extension, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi",77.12881389,28.54953611,"North Indian, Chinese, Fast Food",500,Indian Rupees(Rs.),No,No,2,0,1
87,Cafe Coffee Day,1,New Delhi,"K-1/14, Main Road, Chittaranjan Park, New Delhi",Chittaranjan Park,"Chittaranjan Park, New Delhi",77.2530302,28.5393728,Cafe,450,Indian Rupees(Rs.),No,No,1,0,1
88,India Restaurant,1,Kolkata,"Ground Floor, 1st Floor, 2nd Floor, 34, Karl Marx Sarani, Kidderpore, Kolkata",Kidderpore,"Kidderpore, Kolkata",88.3223365,22.5389989,"Biryani, North Indian, Chinese, Mughlai",800,Indian Rupees(Rs.),Yes,Yes,2,4.6,1219
89,Lahori Food,1,New Delhi,"Matia Mahal Road, Opposite Gate 1, Jama Masjid, New Delhi",Jama Masjid,"Jama Masjid, New Delhi",77.2333916,28.6493023,North Indian,400,Indian Rupees(Rs.),No,No,1,0,0
90,Jain Dhaba,1,New Delhi,"412/C, Jheel Kuranja, Opposite 310 Bus Stop, Krishna Nagar, New Delhi",Krishna Nagar,"Krishna Nagar, New Delhi",77.2723274,28.6589025,North Indian,400,Indian Rupees(Rs.),No,No,1,3.2,30
91,Zayka Delhi-6,1,New Delhi,"Shop 3, Subhash Nagar Bike Market, Ajanta Cinema, Ajay Enclave, Subhash Nagar, New Delhi",Subhash Nagar,"Subhash Nagar, New Delhi",77.1076479,28.6389889,"North Indian, Mughlai",600,Indian Rupees(Rs.),No,No,2,3.1,11
92,GreeNox,1,Noida,"A Block, The Corenthum Office Complex, Sector 62, Noida",Sector 62,"Sector 62, Noida",77.37371799,28.62667926,"Fast Food, Beverages",200,Indian Rupees(Rs.),No,Yes,1,3.4,16
93,Momoholic,1,New Delhi,"Shop 13, Plot 25, Parmesh Corporate Tower, Karkardooma Community Centre Tower, Karkardooma, New Delhi",Karkardooma,"Karkardooma, New Delhi",0,0,"Chinese, Fast Food, Ice Cream",200,Indian Rupees(Rs.),No,No,1,3.3,11
94,Zai,1,New Delhi,"Building 3, Local Shopping Complex, Masjid Moth, Greater Kailash (GK) 2, New Delhi",Greater Kailash (GK) 2,"Greater Kailash (GK) 2, New Delhi",77.2386784,28.5370786,"North Indian, Continental, Chinese",1550,Indian Rupees(Rs.),Yes,Yes,3,3.8,302
95,Bablu Fast Food,1,Gurgaon,"Shop 5, Opposite Oriental Club, Sector 18, Near Sector 17, Gurgaon",Sector 17,"Sector 17, Gurgaon",77.0633149,28.4978576,Chinese,300,Indian Rupees(Rs.),No,No,1,0,0
96,Bansiwala Sweets & Caterers,1,New Delhi,"Near Metro Pillar 629, Rohtak Road, Mundka, Nangloi, New Delhi",Nangloi,"Nangloi, New Delhi",77.02933475,28.68263808,"Mithai, Street Food",100,Indian Rupees(Rs.),No,No,1,0,0
97,Southy,1,New Delhi,"88/4, Adchini, New Delhi",Adchini,"Adchini, New Delhi",77.19795015,28.53747419,South Indian,450,Indian Rupees(Rs.),No,Yes,1,2.6,113
98,Bombay Brasserie,1,Chennai,"3, College Lane, Nungambakkam, Chennai",Nungambakkam,"Nungambakkam, Chennai",80.251865,13.066762,North Indian,1200,Indian Rupees(Rs.),Yes,Yes,3,4.6,1753
99,Chaska By Taste,1,Noida,"Village Shadra Bansal Market, Near Pass Taira, Sector 132, Noida",Sector 132,"Sector 132, Noida",77.4132229,28.5070787,"North Indian, Chinese",600,Indian Rupees(Rs.),No,No,2,2.9,4
100,Tea'se Me - Rooftop Tea Boutique,1,Agra,"Near Purani Mandi Crossing,Fatehabad Road, Tajganj, Agra",Tajganj,"Tajganj, Agra",0,0,"Chinese, Italian, Continental, North Indian",1000,Indian Rupees(Rs.),No,No,3,4.2,166
101,Butterburrs,216,Pocatello,"917 Yellowstone Avenue, Pocatello, ID 83201",Pocatello,"Pocatello, Pocatello",-112.4516,42.8919,"American, Breakfast",30,Dollar($),No,No,3,3.6,121
102,Carpedium,1,Gurgaon,"Shop 94, Huda Market, Sector 14, Gurgaon",Sector 14,"Sector 14, Gurgaon",77.0475174,28.474015,"Bakery, Desserts",200,Indian Rupees(Rs.),No,No,1,3.1,7
103,Shri Bankey Bihari Samosa Wala,1,New Delhi,"3177, Sangatrashan, Paharganj, New Delhi",Paharganj,"Paharganj, New Delhi",0,0,Street Food,100,Indian Rupees(Rs.),No,No,1,3.1,5
104,Carbon Bistro,189,Pretoria,"279 Dey Street, Brooklyn, Pretoria",Brooklyn,"Brooklyn, Pretoria",28.230606,-25.772304,"Burger, Steak, Seafood",360,Rand(R),No,No,4,4.1,84
105,Raj Rasoi,1,New Delhi,"9, Roshan Garden, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi",76.9910765,28.6127374,North Indian,150,Indian Rupees(Rs.),No,No,1,0,2
106,Tyre Patty,1,Bhubaneshwar,"3rd Floor, BMC Bhawani Mall, Sahid Nagar, Bhubaneshwar","BMC Bhawani Mall, Sahid Nagar","BMC Bhawani Mall, Sahid Nagar, Bhubaneshwar",0,0,Cafe,500,Indian Rupees(Rs.),No,No,2,3.9,289
107,Tandoori Nature,1,New Delhi,"22, Samman Bazar, Bhogal, Jangpura, New Delhi",Jangpura,"Jangpura, New Delhi",77.2479992,28.5832431,North Indian,400,Indian Rupees(Rs.),No,No,1,0,0
108,Konetto Pizza,1,Gurgaon,"Shop 7, Opposite Vishal Mega Mart, Next to Citikart, Old Delhi-Gurgaon Road, Sector 14, Gurgaon",Sector 14,"Sector 14, Gurgaon",77.0462096,28.4783985,Pizza,150,Indian Rupees(Rs.),No,No,1,3.5,32
109,Shanu's Chicken Planet,1,New Delhi,"1, Block C8, DDA Market, Keshav Puram, Lawrence Road, New Delhi",Lawrence Road,"Lawrence Road, New Delhi",77.16032244,28.69054589,"North Indian, Mughlai, Chinese, Italian",450,Indian Rupees(Rs.),No,No,1,3.2,11
